Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2017-11-05 13:03:41,Running,,14.52,1:39:03,6:49,8.79,881.0,142,,,2017-11-05-1303.gpx
2017-11-01 19:10:56,Running,,5.56,42:30,7:39,7.85,334.0,24,,,2017-11-01-1910.gpx
2017-10-08 17:10:33,Running,,2.18,18:40,8:34,7.01,125.0,9,,,2017-10-08-1710.gpx
2017-09-17 17:28:48,Running,,4.36,33:27,7:40,7.82,258.0,19,,,2017-09-17-1728.gpx
2017-09-14 21:16:02,Running,,0.70,10:35,15:04,3.98,45.0,2,,,2017-09-14-2116.gpx
2017-09-12 19:02:50,Running,,5.76,40:31,7:02,8.53,343.0,14,,,2017-09-12-1902.gpx
2017-09-09 17:07:08,Running,,3.90,28:16,7:14,8.29,229.0,16,,,2017-09-09-1707.gpx
2017-08-27 17:28:42,Running,,3.56,25:09,7:04,8.49,210.0,15,,,2017-08-27-1728.gpx
2017-08-26 17:35:28,Running,,3.98,30:09,7:35,7.91,230.0,12,,,2017-08-26-1735.gpx
2017-08-08 18:53:17,Running,,3.50,25:20,7:15,8.28,207.0,15,,"",2017-08-08-1853.gpx
2017-07-25 20:20:12,Running,,4.33,31:18,7:13,8.31,251.0,18,,,2017-07-25-2020.gpx
2017-07-24 20:14:27,Running,,2.97,21:39,7:17,8.24,169.0,12,,,2017-07-24-2014.gpx
2017-07-12 17:25:50,Running,,2.41,18:26,7:39,7.85,137.0,10,,,2017-07-12-1725.gpx
2017-07-06 18:59:45,Running,,1.50,13:21,8:54,6.74,87.0,6,,,2017-07-06-1859.gpx
2017-07-02 16:46:47,Running,,3.09,27:54,9:01,6.65,167.0,13,,,2017-07-02-1646.gpx
2017-06-20 18:53:02,Running,,1.82,13:17,7:19,8.21,106.0,7,,,2017-06-20-1853.gpx
2017-06-03 17:59:07,Running,,1.11,14:14,12:46,4.70,63.0,4,,,2017-06-03-1759.gpx
2017-05-28 18:02:07,Running,,2.64,18:49,7:07,8.43,156.0,12,,,2017-05-28-1802.gpx
2017-05-21 17:24:18,Running,,2.53,20:20,8:02,7.47,144.0,10,,,2017-05-21-1724.gpx
2017-05-07 17:27:26,Running,,2.31,15:50,6:52,8.74,132.0,10,,,2017-05-07-1727.gpx
2017-05-06 17:19:07,Running,,2.07,13:56,6:45,8.89,118.0,8,,,2017-05-06-1719.gpx
2017-05-04 19:42:28,Running,,0.40,2:48,6:56,8.64,23.0,1,,,2017-05-04-1942.gpx
2017-05-04 19:20:25,Running,,2.97,19:26,6:32,9.18,174.0,11,,,2017-05-04-1920.gpx
2017-05-03 21:44:39,Running,,3.73,27:49,7:27,8.05,210.0,16,,"",2017-05-03-2144.gpx
2017-04-25 05:32:44,Running,,3.10,26:27,8:31,7.04,183.0,12,,"",2017-04-25-0532.gpx
2017-04-09 17:00:36,Running,,3.36,21:27,6:24,9.39,194.0,14,,,2017-04-09-1700.gpx
2017-04-04 16:34:41,Running,,7.20,46:32,6:28,9.28,421.0,31,,,2017-04-04-1634.gpx
2017-04-03 17:28:58,Running,,6.09,39:35,6:30,9.23,355.0,26,,,2017-04-03-1728.gpx
2017-03-30 20:56:07,Running,,4.28,26:34,6:13,9.66,251.0,17,,,2017-03-30-2056.gpx
2017-03-23 18:54:41,Running,,4.24,27:24,6:28,9.28,243.0,19,,,2017-03-23-1854.gpx
2017-03-14 19:16:08,Running,,5.41,34:45,6:25,9.34,311.0,24,,,2017-03-14-1916.gpx
2017-03-12 16:30:52,Running,,5.40,39:05,7:14,8.29,307.0,30,,"",2017-03-12-1630.gpx
2017-03-05 17:19:41,Running,,4.31,28:38,6:39,9.03,244.0,19,,"",2017-03-05-1719.gpx
2017-02-26 17:31:24,Running,,4.06,26:50,6:36,9.08,233.0,17,,,2017-02-26-1731.gpx
2017-02-05 17:02:53,Running,,4.86,34:16,7:03,8.50,285.0,50,,,2017-02-05-1702.gpx
2017-02-01 16:19:54,Running,,4.37,29:10,6:41,8.98,247.0,10,,,2017-02-01-1619.gpx
2017-01-19 19:12:49,Running,,5.29,33:55,6:25,9.36,304.0,12,,,2017-01-19-1912.gpx
2017-01-16 19:32:40,Running,,0.51,3:25,6:43,8.92,29.0,0,,"",2017-01-16-1932.gpx
2017-01-16 19:14:56,Running,,2.55,16:39,6:32,9.19,149.0,24,,,2017-01-16-1914.gpx
2016-12-27 19:19:13,Running,,5.00,32:15,6:27,9.31,298.0,60,,,2016-12-27-1919.gpx
2016-12-21 05:25:42,Running,,4.06,28:47,7:05,8.46,232.0,9,,,2016-12-21-0525.gpx
2016-11-27 17:23:49,Running,,5.40,33:31,6:13,9.66,328.0,57,,,2016-11-27-1723.gpx
2016-11-20 17:21:53,Running,,2.94,19:58,6:47,8.84,174.0,32,,,2016-11-20-1721.gpx
2016-11-14 19:24:43,Running,,2.93,18:35,6:20,9.47,172.0,20,,,2016-11-14-1924.gpx
2016-11-06 17:11:18,Running,,4.02,27:24,6:48,8.81,242.0,44,,,2016-11-06-1711.gpx
2016-10-24 18:55:20,Running,,6.72,41:44,6:13,9.66,396.0,44,,,2016-10-24-1855.gpx
2016-10-23 16:40:29,Running,,8.41,54:50,6:31,9.20,483.0,21,,,2016-10-23-1640.gpx
2016-10-16 17:20:24,Running,,5.33,35:09,6:36,9.10,304.0,13,,,2016-10-16-1720.gpx
2016-10-12 19:20:04,Running,,7.21,47:37,6:36,9.09,426.0,70,,,2016-10-12-1920.gpx
2016-10-11 21:02:10,Running,,4.96,33:19,6:43,8.94,289.0,28,,,2016-10-11-2102.gpx
2016-10-05 19:17:58,Running,,5.93,37:53,6:23,9.39,343.0,14,,,2016-10-05-1917.gpx
2016-09-28 20:11:22,Running,,3.69,27:41,7:30,8.00,211.0,32,,,2016-09-28-2011.gpx
2016-09-26 19:53:21,Running,,6.40,42:25,6:37,9.06,378.0,64,,,2016-09-26-1953.gpx
2016-09-18 17:03:52,Running,,6.08,40:36,6:41,8.98,345.0,15,,,2016-09-18-1703.gpx
2016-09-15 19:05:52,Running,,6.44,43:36,6:46,8.87,384.0,68,,,2016-09-15-1905.gpx
2016-09-13 18:59:30,Running,,4.79,31:40,6:36,9.09,295.0,111,,,2016-09-13-1859.gpx
2016-09-06 19:29:13,Running,,4.35,27:52,6:24,9.37,257.0,49,,,2016-09-06-1929.gpx
2016-09-04 21:25:58,Running,,3.55,21:57,6:11,9.71,200.0,7,,,2016-09-04-2125.gpx
2016-09-01 19:19:52,Running,,3.50,22:24,6:23,9.39,202.0,9,,,2016-09-01-1919.gpx
2016-08-30 20:04:38,Running,,4.22,26:34,6:18,9.52,250.0,42,,,2016-08-30-2004.gpx
2016-08-29 20:44:37,Running,,7.28,43:09,5:56,10.12,436.0,83,,,2016-08-29-2044.gpx
2016-08-25 18:55:52,Running,,6.68,42:30,6:22,9.43,402.0,83,,,2016-08-25-1855.gpx
2016-08-24 19:06:55,Running,,7.88,48:55,6:13,9.66,468.0,80,,,2016-08-24-1906.gpx
2016-08-23 19:08:30,Running,,7.52,45:42,6:04,9.88,441.0,59,,,2016-08-23-1908.gpx
2016-08-17 18:49:59,Running,,7.80,49:46,6:23,9.40,450.0,18,,,2016-08-17-1849.gpx
2016-08-12 19:13:31,Running,,5.41,32:48,6:04,9.90,321.0,39,,,2016-08-12-1913.gpx
2016-08-10 18:33:46,Running,,7.94,47:07,5:56,10.12,469.0,40,,,2016-08-10-1833.gpx
2016-08-09 18:33:18,Running,,6.95,44:18,6:23,9.41,415.0,43,,,2016-08-09-1833.gpx
2016-08-08 18:40:56,Running,,7.47,45:16,6:04,9.90,454.0,57,,,2016-08-08-1840.gpx
2016-08-06 17:07:16,Running,,7.23,45:37,6:19,9.51,439.0,81,,,2016-08-06-1707.gpx
2016-08-05 18:44:33,Running,,4.42,27:49,6:17,9.54,265.0,36,,,2016-08-05-1844.gpx
2016-08-04 19:07:59,Running,,9.60,58:23,6:05,9.87,574.0,77,,,2016-08-04-1907.gpx
2015-07-26 17:28:55,Running,,5.52,34:27,6:14,9.62,318.0,13,,,2015-07-26-1728.gpx
2015-07-21 06:49:32,Running,,3.40,19:37,5:47,10.39,198.0,7,,,2015-07-21-0649.gpx
2015-07-19 16:48:31,Running,,6.72,42:20,6:18,9.52,384.0,15,,,2015-07-19-1648.gpx
2015-07-12 17:48:50,Running,,3.20,19:34,6:06,9.82,183.0,7,,,2015-07-12-1748.gpx
2015-07-04 17:28:00,Running,,2.87,17:43,6:11,9.71,166.0,6,,,2015-07-04-1728.gpx
2015-06-28 17:35:04,Running,,1.66,9:22,5:39,10.61,96.0,4,,,2015-06-28-1735.gpx
2015-06-21 16:50:58,Running,,3.61,23:17,6:27,9.29,204.0,8,,,2015-06-21-1650.gpx
2015-06-20 18:17:46,Running,,2.94,16:52,5:45,10.45,171.0,7,,,2015-06-20-1817.gpx
2015-05-31 17:34:35,Running,,5.29,30:03,5:41,10.57,309.0,12,,,2015-05-31-1734.gpx
2015-05-30 04:44:17,Running,,3.20,17:55,5:36,10.72,179.0,7,,,2015-05-30-0444.gpx
2015-05-09 16:47:09,Running,,5.31,32:39,6:09,9.77,307.0,13,,,2015-05-09-1647.gpx
2015-04-14 17:25:02,Running,,5.95,33:12,5:35,10.76,350.0,13,,,2015-04-14-1725.gpx
2015-04-12 16:57:01,Running,,7.44,42:24,5:42,10.53,433.0,18,,,2015-04-12-1657.gpx
2015-04-05 17:03:29,Running,,8.19,49:11,6:00,10.00,482.0,19,,,2015-04-05-1703.gpx
2015-04-04 17:14:19,Running,,6.95,41:29,5:58,10.05,402.0,16,,,2015-04-04-1714.gpx
2015-04-03 17:06:30,Running,,7.61,46:11,6:04,9.89,438.0,18,,,2015-04-03-1706.gpx
2015-04-02 16:52:22,Running,,5.78,35:11,6:05,9.86,323.0,13,,,2015-04-02-1652.gpx
2015-04-01 17:37:31,Running,,1.02,4:44,4:37,12.99,59.0,2,,,2015-04-01-1737.gpx
2015-04-01 17:00:08,Running,,5.33,29:30,5:32,10.84,306.0,12,,,2015-04-01-1700.gpx
2015-03-29 16:48:51,Running,,13.20,1:16:26,5:48,10.36,778.0,32,,,2015-03-29-1648.gpx
2015-03-28 17:39:44,Running,,7.34,39:24,5:22,11.18,431.0,16,,,2015-03-28-1739.gpx
2015-03-23 17:01:24,Running,,6.17,34:07,5:32,10.84,363.0,14,,,2015-03-23-1701.gpx
2015-03-22 16:49:50,Running,,11.24,1:03:33,5:39,10.61,654.0,27,,,2015-03-22-1649.gpx
2015-03-21 16:50:03,Running,,10.64,1:03:44,6:00,10.01,620.0,28,,,2015-03-21-1650.gpx
2015-03-15 16:50:56,Running,,9.65,55:59,5:48,10.34,561.0,26,,,2015-03-15-1650.gpx
2015-03-14 16:45:27,Running,,12.17,1:10:20,5:47,10.38,718.0,28,,,2015-03-14-1645.gpx
2015-03-05 16:51:44,Running,,12.20,1:11:35,5:52,10.22,722.0,32,,,2015-03-05-1651.gpx
2015-03-02 17:21:22,Running,,10.06,56:46,5:39,10.63,598.0,24,,,2015-03-02-1721.gpx
2015-03-01 16:47:43,Running,,10.00,57:07,5:43,10.50,597.0,25,,"May be new record",2015-03-01-1647.gpx
2015-02-28 16:34:35,Running,,8.23,52:55,6:26,9.33,480.0,21,,,2015-02-28-1634.gpx
2015-02-26 17:00:46,Running,,4.83,30:26,6:18,9.52,277.0,13,,,2015-02-26-1700.gpx
2015-01-24 16:31:14,Running,,10.16,57:07,5:37,10.67,598.480149080399,24,,,2015-01-24-1631.gpx
2015-01-23 16:51:51,Running,,8.29,50:00,6:02,9.95,500.835526003885,20,,,2015-01-23-1651.gpx
2015-01-23 16:35:16,Running,,2.25,12:08,5:24,11.11,134.441299202716,5,,,2015-01-23-1635.gpx
